Rank,Country,Area_km2,Area_sqmi,%_of_Total,Notes
1,Russia,17098242.00 ,6601668.00 ,11.50%,The largest country in the world.
2,Canada,9984670.00 ,3855100.00 ,6.70%,The largest country in North America and the Western Hemisphere.
3,United States,9629091.00 ,3717813.00 ,6.50%,Includes only states and incorporated territories.
5,Brazil,8514877.00 ,3287612.00 ,5.70%,The largest country in South America and the Southern Hemisphere.
6,Australia,7692024.00 ,2969907.00 ,5.20%,The largest country in Oceania.
7,India,3287263.00 ,1269219.00 ,2.30%,[Note 9]
8,Argentina,2780400.00 ,1073500.00 ,2%,[Note 10]
9,Kazakhstan,2724900.00 ,1052100.00 ,1.80%,Largest landlocked country in the world.[8][9]
10,Sudan,2505813.00 ,967500.00 ,1.70%,Currently the largest country in Africa and in the Arab world.
11,Algeria,2381741.00 ,919595.00 ,1.60%,"When Sudan splits into two countries, Algeria will become the largest country in Africa and in the Arab world."
12,Democratic Republic of the Congo,2344858.00 ,905355.00 ,1.60%,
13,Greenland,2166086.00 ,836330.00 ,1.50%,A constituent country of the Kingdom of Denmark. Largest island that is not a continent.
14,Saudi Arabia,2149690.00 ,830000.00 ,1.40%,Largest country in the Middle East.
15,Mexico,1964375.00 ,758449.00 ,1.30%,[Note 12]
16,Indonesia,1910931.00 ,737815.00 ,1.30%,Largest country in Southeast Asia.
17,Libya,1759540.00 ,679360.00 ,1.20%,
18,Iran,1628750.00 ,628860.00 ,1.10%,
19,Mongolia,1564100.00 ,603900.00 ,1.10%,
20,Peru,1285216.00 ,496225.00 ,0.86%,
21,Chad,1284000.00 ,496000.00 ,0.86%,
22,Niger,1267000.00 ,489000.00 ,0.85%,
23,Angola,1246700.00 ,481400.00 ,0.85%,
24,Mali,1240192.00 ,478841.00 ,0.83%,
25,South Africa,1221037.00 ,471445.00 ,0.82%,
26,Colombia,1141748.00 ,440831.00 ,0.76%,
