COV-LP50


Filter Length/Order: 161
Overall Filter Gain: 9.51718569775E-01

It could be proved that nearly half of the coefs of LP-conv-HP are exactly zeros.

                 Coefficients
 N  [      N + 0              N + 1     ]
=== =====================================
000  5.94632328869E-05  0.00000000000E+00
002 -2.35697223505E-04 -1.35525271561E-20
004 -1.47011783916E-04  6.77626357803E-21
006 -1.41149667178E-04  6.77626357803E-21
008 -1.44715514190E-04  0.00000000000E+00
010 -1.38998660118E-04  0.00000000000E+00
012 -1.17516045003E-04  6.77626357803E-21
014 -7.70046206431E-05 -5.08219768353E-21
016 -1.57519686849E-05  3.38813178902E-21
018  6.65505991217E-05  1.35525271561E-20
020  1.68759037864E-04  0.00000000000E+00
022  2.88303975966E-04  2.71050543121E-20
024  4.21075902067E-04 -1.35525271561E-19
026  5.61835922095E-04  2.71050543121E-20
028  7.04336161236E-04  2.71050543121E-20
030  8.41747852510E-04 -8.13151629364E-20
032  9.67193415705E-04  0.00000000000E+00
034  1.07403988351E-03 -5.42101086243E-20
036  1.15648035969E-03  5.42101086243E-20
038  1.21002303732E-03  1.08420217249E-19
040 -1.41908087478E-02  3.79470760370E-19
042  1.55054360422E-02  9.75781955237E-19
044  1.09496411123E-02  2.71050543121E-19
046  1.07275963034E-02 -4.33680868994E-19
048  1.08186762141E-02  1.89735380185E-19
050  1.01658721235E-02 -7.31836466428E-19
052  8.38757643765E-03  3.79470760370E-19
054  5.28700852418E-03 -8.13151629364E-20
056  7.70059212227E-04 -2.98155597434E-19
058 -5.16421469558E-03 -1.76182853029E-19
060 -1.24164140868E-02 -7.11507675694E-19
062 -2.07923137852E-02  1.13163601753E-18
064 -2.99971886767E-02  2.56650983018E-18
066 -3.96609333239E-02 -1.77876918923E-18
068 -4.93537510603E-02  8.80914265144E-20
070 -5.86090336752E-02  6.28837260042E-18
072 -6.69642518689E-02  2.86635949351E-18
074 -7.39824045052E-02  3.45589442480E-19
076 -7.92924369161E-02  3.15773882736E-18
078 -8.26515853299E-02 -2.26327203506E-18
080  9.16349520793E-01  2.26327203506E-18
082 -8.26515853299E-02 -3.15773882736E-18
084 -7.92924369161E-02 -3.45589442480E-19
086 -7.39824045052E-02 -2.86635949351E-18
088 -6.69642518689E-02 -6.28837260042E-18
090 -5.86090336752E-02 -8.80914265144E-20
092 -4.93537510603E-02  1.77876918923E-18
094 -3.96609333239E-02 -2.56650983018E-18
096 -2.99971886767E-02 -1.13163601753E-18
098 -2.07923137852E-02  7.11507675694E-19
100 -1.24164140868E-02  1.76182853029E-19
102 -5.16421469558E-03  2.98155597434E-19
104  7.70059212227E-04  8.13151629364E-20
106  5.28700852418E-03 -3.79470760370E-19
108  8.38757643765E-03  7.31836466428E-19
110  1.01658721235E-02 -1.89735380185E-19
112  1.08186762141E-02  4.33680868994E-19
114  1.07275963034E-02 -2.71050543121E-19
116  1.09496411123E-02 -9.75781955237E-19
118  1.55054360422E-02 -3.79470760370E-19
120 -1.41908087478E-02 -1.08420217249E-19
122  1.21002303732E-03 -5.42101086243E-20
124  1.15648035969E-03  5.42101086243E-20
126  1.07403988351E-03  0.00000000000E+00
128  9.67193415705E-04  8.13151629364E-20
130  8.41747852510E-04 -2.71050543121E-20
132  7.04336161236E-04 -2.71050543121E-20
134  5.61835922095E-04  1.35525271561E-19
136  4.21075902067E-04 -2.71050543121E-20
138  2.88303975966E-04  0.00000000000E+00
140  1.68759037864E-04 -1.35525271561E-20
142  6.65505991217E-05 -3.38813178902E-21
144 -1.57519686849E-05  5.08219768353E-21
146 -7.70046206431E-05 -6.77626357803E-21
148 -1.17516045003E-04  0.00000000000E+00
150 -1.38998660118E-04  0.00000000000E+00
152 -1.44715514190E-04 -6.77626357803E-21
154 -1.41149667178E-04 -6.77626357803E-21
156 -1.47011783916E-04  1.35525271561E-20
158 -2.35697223505E-04  0.00000000000E+00
160  5.94632328869E-05
